Class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,session_id,event_time,event_type,product_id,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
high-end meat and seafood connoisseur,"[199752401796, datetime.datetime(2023, 11, 12, 9, 26, 44, 9000), 'load', '豪氣食堂手工水餃6入選']","[199752401796, datetime.datetime(2023, 11, 12, 9, 27, 49, 822000), 'load', '日式梅花燒肉片']","[199752401796, datetime.datetime(2023, 11, 12, 9, 31, 22, 407000), 'purchase', '日式梅花燒肉片']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frugal meat lover,"[199071551890, datetime.datetime(2023, 11, 4, 12, 20, 10, 547000), 'load', '舒肥雞胸隨手包35包']","[199071551890, datetime.datetime(2023, 11, 4, 12, 20, 35, 174000), 'load', '舒肥雞胸隨手包35包']","[199071551890, datetime.datetime(2023, 11, 4, 12, 38, 2, 103000), 'load', '美式香濃起司薯球']","[199071551890, datetime.datetime(2023, 11, 4, 12, 40, 3, 935000), 'load', '舒肥雞胸輕巧隨手包單入']","[199071551890, datetime.datetime(2023, 11, 4, 12, 44, 26, 563000), 'purchase', '美式香濃起司薯球']","[199071551890, datetime.datetime(2023, 11, 4, 12, 44, 26, 563000), 'purchase', '四川輕麻辣舒肥嫩雞胸']","[199071551890, datetime.datetime(2023, 11, 4, 12, 44, 26, 563000), 'purchase', '舒肥雞胸隨手包35包']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[203001816146, datetime.datetime(2023, 12, 20, 0, 4, 12, 348000), 'load', '超嫩舒肥嫩雞胸10入任選']","[203001816146, datetime.datetime(2023, 12, 20, 0, 7, 15, 837000), 'purchase', '超嫩舒肥嫩雞胸10入任選']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[202877454827, datetime.datetime(2023, 12, 18, 13, 31, 29, 549000), 'load', '鮮嫩唐揚無骨雞腿塊']","[202877454827, datetime.datetime(2023, 12, 18, 13, 31, 49, 409000), 'load', '老饕挪威薄鹽鯖魚']","[202877454827, datetime.datetime(2023, 12, 18, 13, 32, 14, 277000), 'load', '聖凱招牌牛肉麵3入自由選']","[202877454827, datetime.datetime(2023, 12, 18, 13, 32, 38, 272000), 'load', '私房紅燒香滷牛筋']","[202877454827, datetime.datetime(2023, 12, 18, 13, 32, 49, 389000), 'load', '招牌香滷牛筋3入自由選']","[202877454827, datetime.datetime(2023, 12, 18, 13, 35, 35, 693000), 'load', '聖凱招牌牛肉麵3入自由選']","[202877454827, datetime.datetime(2023, 12, 18, 13, 36, 53, 454000), 'load', '招牌香滷牛筋3入自由選']","[202877454827, datetime.datetime(2023, 12, 18, 13, 37, 23, 859000), 'load', '私房紅燒香滷牛筋']","[202877454827, datetime.datetime(2023, 12, 18, 13, 38, 15, 901000), 'load', '【限量特賣】紅燒滷牛腱']","[202877454827, datetime.datetime(2023, 12, 18, 13, 39, 13, 872000), 'load', '聖凱招牌牛肉麵3入自由選']","[202877454827, datetime.datetime(2023, 12, 18, 13, 54, 11, 778000), 'load', '私房紅燒香滷牛筋']","[202877454827, datetime.datetime(2023, 12, 18, 13, 55, 59, 20000), 'purchase', '美國安格斯帶骨牛小排']","[202877454827, datetime.datetime(2023, 12, 18, 13, 55, 59, 20000), 'purchase', '鮮嫩唐揚無骨雞腿塊']","[202877454827, datetime.datetime(2023, 12, 18, 13, 55, 59, 20000), 'purchase', '私房紅燒香滷牛筋']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seasonal fruit and vegetable buyer,"[210169789168, datetime.datetime(2024, 3, 11, 23, 11, 40, 657000), 'load', '新興461-韓式泡菜軟骨肉']","[210169789168, datetime.datetime(2024, 3, 11, 23, 12, 11, 300000), 'load', '特級蘇丹王鮮凍榴槤果肉']","[210169789168, datetime.datetime(2024, 3, 11, 23, 17, 2, 410000), 'purchase', '鮮採冷凍泰國金枕頭榴槤 ']","[210169789168, datetime.datetime(2024, 3, 11, 23, 17, 5, 910000), 'purchase', '鮮採冷凍泰國金枕頭榴槤 ']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seasonal fruit and vegetable buyer,"[202316534040, datetime.datetime(2023, 12, 12, 1, 42, 16, 731000), 'load', '橙蜜香小蕃茄']","[202316534040, datetime.datetime(2023, 12, 12, 1, 45, 41, 176000), 'purchase', '橙蜜香小蕃茄']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seasonal fruit and vegetable buyer,"[202209072271, datetime.datetime(2023, 12, 10, 19, 51, 14, 475000), 'load', '特選鮮採大湖草莓']","[202209072271, datetime.datetime(2023, 12, 10, 19, 57, 39, 586000), 'purchase', '特選鮮採大湖草莓']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community event shopper,"[206079021922, datetime.datetime(2024, 1, 24, 14, 50, 24, 36000), 'load', '鴻運納財迎春宴']","[206079021922, datetime.datetime(2024, 1, 24, 14, 54, 27, 193000), 'purchase', '鴻運納財迎春宴']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[206984467108, datetime.datetime(2024, 2, 4, 2, 21, 9, 857000), 'load', '卡拉綜合禮盒']","[206984467108, datetime.datetime(2024, 2, 4, 2, 24, 44, 379000), 'load', '卡拉綜合禮盒']","[206984467108, datetime.datetime(2024, 2, 4, 2, 31, 50, 986000), 'purchase', '卡拉綜合禮盒']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[205671858233, datetime.datetime(2024, 1, 19, 21, 44, 19, 685000), 'load', '舒肥雞胸輕巧隨手包(30包)']","[205671858233, datetime.datetime(2024, 1, 19, 21, 44, 36, 740000), 'load', '享受藜麥自由選(12包入)']","[205671858233, datetime.datetime(2024, 1, 19, 21, 51, 5, 365000), 'purchase', '享受藜麥自由選(12包入)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luxury seafood enthusiast,"[204633387903, datetime.datetime(2024, 1, 7, 21, 16, 37, 501000), 'load', '醬漬一口鮑單入自由選']","[204633387903, datetime.datetime(2024, 1, 7, 21, 19, 2, 324000), 'load', '醬漬一口鮑單入自由選']","[204633387903, datetime.datetime(2024, 1, 7, 21, 19, 38, 549000), 'load', '醬漬一口鮑單入自由選']","[204633387903, datetime.datetime(2024, 1, 7, 21, 22, 5, 885000), 'purchase', '醬漬一口鮑單入自由選']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luxury seafood enthusiast,"[199423548855, datetime.datetime(2023, 11, 8, 14, 5, 50, 89000), 'load', '熟凍鮮紅蟳']","[199423548855, datetime.datetime(2023, 11, 8, 14, 15, 39, 325000), 'purchase', '熟凍鮮紅蟳']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seasonal fruit and vegetable buyer,"[201868647355, datetime.datetime(2023, 12, 6, 21, 17, 28, 774000), 'load', '特選鮮採大湖草莓']","[201868647355, datetime.datetime(2023, 12, 6, 21, 17, 39, 973000), 'load', '特選鮮採大湖草莓']","[201868647355, datetime.datetime(2023, 12, 6, 21, 19, 36, 530000), 'load', '特選鮮採大湖草莓']","[201868647355, datetime.datetime(2023, 12, 6, 21, 22, 10, 38000), 'purchase', '特選鮮採大湖草莓']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community event shopper,"[206409506380, datetime.datetime(2024, 1, 28, 10, 38, 27, 646000), 'load', '卡拉綜合禮盒']","[206409506380, datetime.datetime(2024, 1, 28, 10, 42, 13, 9000), 'purchase', '卡拉綜合禮盒']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[209563554279, datetime.datetime(2024, 3, 4, 22, 45, 56, 811000), 'load', '澎湖活凍野生明蝦']","[209563554279, datetime.datetime(2024, 3, 4, 22, 45, 56, 818000), 'load', '澎湖活凍野生明蝦']","[209563554279, datetime.datetime(2024, 3, 4, 22, 48, 30, 908000), 'load', '醬漬一口鮑單入自由選']","[209563554279, datetime.datetime(2024, 3, 4, 22, 48, 52, 302000), 'load', '醬漬一口鮑單入自由選']","[209563554279, datetime.datetime(2024, 3, 4, 23, 0, 20, 647000), 'purchase', '鮮採冷凍泰國金枕頭榴槤 ']","[209563554279, datetime.datetime(2024, 3, 4, 23, 0, 20, 647000), 'purchase', '酒釀蒜香鹹豬肉']","[209563554279, datetime.datetime(2024, 3, 4, 23, 0, 20, 647000), 'purchase', '醇郁豬腸四神湯']","[209563554279, datetime.datetime(2024, 3, 4, 23, 0, 20, 647000), 'purchase', '瑋納佰洲-貓山王榴槤冰淇淋']","[209563554279, datetime.datetime(2024, 3, 4, 23, 0, 20, 647000), 'purchase', '食之香-起司抓餅']","[209563554279, datetime.datetime(2024, 3, 4, 23, 0, 20, 647000), 'purchase', '招牌高麗菜鮮肉餃']","[209563554279, datetime.datetime(2024, 3, 4, 23, 0, 20, 647000), 'purchase', '金黃玉米鮮肉餃']","[209563554279, datetime.datetime(2024, 3, 4, 23, 0, 20, 647000), 'purchase', '美國特選板腱牛肉片']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[208125359505, datetime.datetime(2024, 2, 17, 7, 16, 1, 615000), 'load', '美國安格斯帶骨牛小排']","[208125359505, datetime.datetime(2024, 2, 17, 7, 19, 5, 77000), 'load', '美國安格斯帶骨牛小排']","[208125359505, datetime.datetime(2024, 2, 17, 7, 20, 47, 326000), 'load', '日本A5和牛漢堡排單入任選']","[208125359505, datetime.datetime(2024, 2, 17, 7, 22, 2, 448000), 'load', '【限量特賣】義大利麵任選']","[208125359505, datetime.datetime(2024, 2, 17, 7, 22, 32, 857000), 'load', '美國藍帶特選嫩肩牛排']","[208125359505, datetime.datetime(2024, 2, 17, 7, 26, 35, 349000), 'load', '日式梅花燒肉片']","[208125359505, datetime.datetime(2024, 2, 17, 7, 27, 16, 450000), 'load', '超大無毒白蝦仁 150g']","[208125359505, datetime.datetime(2024, 2, 17, 7, 33, 0, 326000), 'purchase', '美國安格斯帶骨牛小排']","[208125359505, datetime.datetime(2024, 2, 17, 7, 33, 0, 326000), 'purchase', '超大無毒白蝦仁 150g']","[208125359505, datetime.datetime(2024, 2, 17, 7, 33, 0, 326000), 'purchase', '日式梅花燒肉片']","[208125359505, datetime.datetime(2024, 2, 17, 7, 33, 0, 326000), 'purchase', '鮮凍毛豆仁']","[208125359505, datetime.datetime(2024, 2, 17, 7, 33, 0, 326000), 'purchase', '黃金手工花枝蝦排']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seasonal fruit and vegetable buyer,"[208280389120, datetime.datetime(2024, 2, 19, 2, 19, 50, 144000), 'load', '豪氣食堂台式芋頭炊粉湯']","[208280389120, datetime.datetime(2024, 2, 19, 2, 24, 55, 198000), 'purchase', '豪氣食堂台式芋頭炊粉湯']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[208926040087, datetime.datetime(2024, 2, 26, 13, 44, 44), 'load', '超嫩舒肥嫩雞胸(任選30包)']","[208926040087, datetime.datetime(2024, 2, 26, 14, 3, 11, 991000), 'load', '100kg一休低醣熱量赤字餐']","[208926040087, datetime.datetime(2024, 2, 26, 14, 5, 8, 640000), 'load', '冰心地瓜6入任選']","[208926040087, datetime.datetime(2024, 2, 26, 14, 6, 31, 83000), 'load', '神農老饕黑珍珠蓮霧']","[208926040087, datetime.datetime(2024, 2, 26, 14, 6, 45, 875000), 'load', '鮮採蜜風鈴蓮霧']","[208926040087, datetime.datetime(2024, 2, 26, 14, 7, 12, 924000), 'load', '頂級神農黑珍珠蓮霧']","[208926040087, datetime.datetime(2024, 2, 26, 14, 7, 27, 815000), 'load', '神農老饕黑珍珠蓮霧']","[208926040087, datetime.datetime(2024, 2, 26, 14, 15, 58, 869000), 'load', '牛雞雙享福利免運包']","[208926040087, datetime.datetime(2024, 2, 26, 14, 18, 9, 257000), 'load', '招牌蒜香羊肉']","[208926040087, datetime.datetime(2024, 2, 26, 14, 19, 12, 403000), 'load', '鮮嫩無骨雞腿排/單支裝']","[208926040087, datetime.datetime(2024, 2, 26, 14, 19, 32, 875000), 'load', '總統級超厚霜降牛排21oz']","[208926040087, datetime.datetime(2024, 2, 26, 14, 26, 55, 334000), 'load', '【限量特賣】古早味豬肉']","[208926040087, datetime.datetime(2024, 2, 26, 14, 27, 7, 410000), 'load', '【限量特賣】切段玉米筍']","[208926040087, datetime.datetime(2024, 2, 26, 14, 33, 27, 891000), 'purchase', '總統級超厚霜降牛排21oz']","[208926040087, datetime.datetime(2024, 2, 26, 14, 33, 27, 891000), 'purchase', '【限量特賣】切段玉米筍']","[208926040087, datetime.datetime(2024, 2, 26, 14, 33, 27, 891000), 'purchase', '特A級日本栗香地瓜']","[208926040087, datetime.datetime(2024, 2, 26, 14, 33, 27, 891000), 'purchase', '香酥雞腿排']","[208926040087, datetime.datetime(2024, 2, 26, 14, 33, 27, 891000), 'purchase', '澎湖野生海菜']","[208926040087, datetime.datetime(2024, 2, 26, 14, 33, 27, 891000), 'purchase', '宜蘭古早味肉羹']","[208926040087, datetime.datetime(2024, 2, 26, 14, 33, 27, 891000), 'purchase', '超嫩舒肥嫩雞胸(任選30包)']","[208926040087, datetime.datetime(2024, 2, 26, 14, 33, 27, 891000), 'purchase', '牛雞雙享福利免運包']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seasonal fruit and vegetable buyer,"[204771131922, datetime.datetime(2024, 1, 9, 11, 32, 13, 991000), 'load', '甜蜜蜜砂糖橘']","[204771131922, datetime.datetime(2024, 1, 9, 11, 33, 49, 905000), 'load', '甜蜜蜜砂糖橘']","[204771131922, datetime.datetime(2024, 1, 9, 11, 35, 44, 390000), 'purchase', '甜蜜蜜砂糖橘']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[198826730387, datetime.datetime(2023, 11, 1, 16, 18, 55, 569000), 'load', '日本A5和牛漢堡排(2入)']","[198826730387, datetime.datetime(2023, 11, 1, 16, 25, 42, 331000), 'purchase', '日本A5和牛漢堡排(2入)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seasonal fruit and vegetable buyer,"[210379491324, datetime.datetime(2024, 3, 14, 9, 25, 16, 353000), 'load', '招牌紅燒牛肉湯']","[210379491324, datetime.datetime(2024, 3, 14, 9, 39, 2, 172000), 'load', '南方澳大尾薄鹽鯖魚']","[210379491324, datetime.datetime(2024, 3, 14, 9, 45, 45, 975000), 'load', '特級蘇丹王鮮凍榴槤果肉']","[210379491324, datetime.datetime(2024, 3, 14, 9, 48, 20, 884000), 'purchase', '特級蘇丹王鮮凍榴槤果肉']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luxury seafood enthusiast,"[208916281069, datetime.datetime(2024, 2, 26, 10, 58, 3, 268000), 'load', '醬漬一口鮑單入自由選']","[208916281069, datetime.datetime(2024, 2, 26, 11, 3, 10, 689000), 'purchase', '醬漬一口鮑單入自由選']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community event shopper,"[206491788947, datetime.datetime(2024, 1, 29, 9, 29, 50, 892000), 'load', '鴻運納財迎春宴']","[206491788947, datetime.datetime(2024, 1, 29, 9, 36, 3, 173000), 'purchase', '鴻運納財迎春宴']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[205809933881, datetime.datetime(2024, 1, 21, 12, 8, 38, 889000), 'load', '卡拉禮盒零嘴任選24包']","[205809933881, datetime.datetime(2024, 1, 21, 12, 23, 29, 726000), 'load', '超人氣卡拉小卷(芥末)']","[205809933881, datetime.datetime(2024, 1, 21, 12, 25, 1, 295000), 'load', '超好吃卡拉脆蝦(辣味)']","[205809933881, datetime.datetime(2024, 1, 21, 12, 29, 33, 396000), 'load', '超好吃卡拉脆魷(原味)']","[205809933881, datetime.datetime(2024, 1, 21, 12, 33, 14, 226000), 'load', '超人氣卡拉龍珠(芥末)']","[205809933881, datetime.datetime(2024, 1, 21, 12, 36, 9, 489000), 'load', '一口炙燒烏魚子']","[205809933881, datetime.datetime(2024, 1, 21, 12, 38, 29, 151000), 'load', '智利生凍帝王蟹腳']","[205809933881, datetime.datetime(2024, 1, 21, 12, 40, 11, 43000), 'load', '澎湖活凍野生明蝦']","[205809933881, datetime.datetime(2024, 1, 21, 12, 43, 22, 110000), 'load', '【基食堂】脆皮豬燒肉']","[205809933881, datetime.datetime(2024, 1, 21, 12, 44, 36, 716000), 'load', '豐禾小團聚']","[205809933881, datetime.datetime(2024, 1, 21, 12, 45, 59, 10000), 'load', '南洋沙嗲風味翼板牛(4串)']","[205809933881, datetime.datetime(2024, 1, 21, 12, 48, 21, 453000), 'load', '紐西蘭菲力骰子牛']","[205809933881, datetime.datetime(2024, 1, 21, 12, 50, 46, 447000), 'load', '總統級超厚霜降牛排21oz']","[205809933881, datetime.datetime(2024, 1, 21, 12, 52, 49, 190000), 'load', '美國藍帶特選嫩肩牛排']","[205809933881, datetime.datetime(2024, 1, 21, 13, 3, 48, 337000), 'purchase', '超人氣卡拉龍珠(原味)']","[205809933881, datetime.datetime(2024, 1, 21, 13, 3, 48, 337000), 'purchase', '卡拉禮盒零嘴任選24包']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[203389137260, datetime.datetime(2023, 12, 24, 11, 39, 6, 55000), 'load', '家庭號優鮮原味雞塊']","[203389137260, datetime.datetime(2023, 12, 24, 11, 39, 55, 817000), 'load', '黃金手工花枝蝦排']","[203389137260, datetime.datetime(2023, 12, 24, 11, 40, 40, 357000), 'load', '霜降骰子牛肉【買三送二】']","[203389137260, datetime.datetime(2023, 12, 24, 11, 41, 15, 901000), 'load', '【限量特賣】義大利麵任選']","[203389137260, datetime.datetime(2023, 12, 24, 11, 41, 43, 535000), 'load', '黃金香酥旗魚塊']","[203389137260, datetime.datetime(2023, 12, 24, 11, 42, 11, 807000), 'load', '台灣極鮮白蝦']","[203389137260, datetime.datetime(2023, 12, 24, 11, 42, 35, 487000), 'load', '【限量特賣】鮮嫩好食雞']","[203389137260, datetime.datetime(2023, 12, 24, 11, 42, 55, 171000), 'load', '鮮嫩吮指烤雞翅15入自由選']","[203389137260, datetime.datetime(2023, 12, 24, 11, 43, 35, 264000), 'load', '鮮嫩吮指烤雞翅15入自由選']","[203389137260, datetime.datetime(2023, 12, 24, 11, 43, 40, 894000), 'load', '鮮嫩吮指烤雞翅10入自由選']","[203389137260, datetime.datetime(2023, 12, 24, 11, 43, 49, 468000), 'load', '鮮嫩吮指烤雞翅單入自由選']","[203389137260, datetime.datetime(2023, 12, 24, 11, 44, 1, 540000), 'load', '鮮嫩吮指烤雞翅15入自由選']","[203389137260, datetime.datetime(2023, 12, 24, 11, 45, 29, 205000), 'load', '香酥雞腿排']","[203389137260, datetime.datetime(2023, 12, 24, 11, 47, 27, 686000), 'load', '泰式檸香打拋肉']","[203389137260, datetime.datetime(2023, 12, 24, 11, 48, 27, 775000), 'purchase', '黃金手工花枝蝦排']","[203389137260, datetime.datetime(2023, 12, 24, 11, 48, 27, 775000), 'purchase', '霜降骰子牛肉【買三送二】']","[203389137260, datetime.datetime(2023, 12, 24, 11, 48, 27, 775000), 'purchase', '黃金香酥旗魚塊']","[203389137260, datetime.datetime(2023, 12, 24, 11, 48, 27, 775000), 'purchase', '香酥雞腿排']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[210156525569, datetime.datetime(2024, 3, 11, 19, 28, 48, 431000), 'load', '日式梅花燒肉片']","[210156525569, datetime.datetime(2024, 3, 11, 19, 29, 11, 308000), 'load', '日式梅花燒肉片']","[210156525569, datetime.datetime(2024, 3, 11, 19, 31, 32, 949000), 'purchase', '日式梅花燒肉片']","[210156525569, datetime.datetime(2024, 3, 11, 19, 36, 9), 'purchase', '日式梅花燒肉片']","[210156525569, datetime.datetime(2024, 3, 11, 19, 36, 10, 484000), 'purchase', '日式梅花燒肉片']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[201695097138, datetime.datetime(2023, 12, 4, 21, 7, 20, 842000), 'load', '超嫩舒肥嫩雞胸(任選30包)']","[201695097138, datetime.datetime(2023, 12, 4, 21, 11, 54, 69000), 'purchase', '超嫩舒肥嫩雞胸(任選30包)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community event shopper,"[205373859977, datetime.datetime(2024, 1, 16, 10, 57, 41, 994000), 'load', '龍躍承祥團圓宴']","[205373859977, datetime.datetime(2024, 1, 16, 10, 58, 22, 176000), 'load', '龍躍承祥團圓宴']","[205373859977, datetime.datetime(2024, 1, 16, 11, 19, 25, 860000), 'load', '龍躍承祥團圓宴']","[205373859977, datetime.datetime(2024, 1, 16, 11, 25, 53, 540000), 'purchase', '龍躍承祥團圓宴']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[211341588780, datetime.datetime(2024, 3, 25, 12, 40, 59, 266000), 'load', '冰鮮空運鮭魚生魚片']","[211341588780, datetime.datetime(2024, 3, 25, 12, 41, 34, 37000), 'load', '西班牙手切伊比利松阪豬']","[211341588780, datetime.datetime(2024, 3, 25, 12, 43, 16, 669000), 'purchase', '冰鮮空運鮭魚生魚片']","[211341588780, datetime.datetime(2024, 3, 25, 12, 43, 16, 669000), 'purchase', '西班牙手切伊比利松阪豬']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
