Class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,session_id,event_time,event_type,product_id,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
seasonal and festive food buyer,"[209209885851, datetime.datetime(2024, 2, 29, 20, 31, 27, 26000), 'load', '豪氣食堂台式芋頭炊粉湯']","[209209885851, datetime.datetime(2024, 2, 29, 20, 36, 9, 626000), 'purchase', '豪氣食堂台式芋頭炊粉湯']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat and seafood combo shopper,"[204285030149, datetime.datetime(2024, 1, 3, 20, 30, 40, 893000), 'load', '美國頂級無骨牛小排']","[204285030149, datetime.datetime(2024, 1, 3, 20, 30, 56, 995000), 'load', '家庭號優鮮原味雞塊']","[204285030149, datetime.datetime(2024, 1, 3, 20, 32, 0, 655000), 'load', '鮮嫩唐揚無骨雞腿塊']","[204285030149, datetime.datetime(2024, 1, 3, 20, 32, 41, 698000), 'load', '家庭號優鮮原味雞塊']","[204285030149, datetime.datetime(2024, 1, 3, 20, 33, 57, 458000), 'load', '招牌無骨鹽酥雞15入自由選']","[204285030149, datetime.datetime(2024, 1, 3, 20, 35, 58, 914000), 'load', '家庭號美式黃金脆薯']","[204285030149, datetime.datetime(2024, 1, 3, 20, 40, 18, 3000), 'purchase', '家庭號優鮮原味雞塊']","[204285030149, datetime.datetime(2024, 1, 3, 20, 40, 18, 3000), 'purchase', '家庭號美式黃金脆薯']","[204285030149, datetime.datetime(2024, 1, 3, 20, 40, 23, 392000), 'purchase', '家庭號優鮮原味雞塊']","[204285030149, datetime.datetime(2024, 1, 3, 20, 40, 23, 392000), 'purchase', '家庭號美式黃金脆薯']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
healthy and low-calorie food seeker,"[206766049750, datetime.datetime(2024, 2, 1, 13, 40, 51, 583000), 'load', '鮮採冷凍泰國金枕頭榴槤 ']","[206766049750, datetime.datetime(2024, 2, 1, 13, 44, 34, 114000), 'load', '鮮採冷凍泰國金枕頭榴槤 ']","[206766049750, datetime.datetime(2024, 2, 1, 13, 48, 25, 227000), 'load', '鮮採冷凍泰國金枕頭榴槤 ']","[206766049750, datetime.datetime(2024, 2, 1, 13, 49, 23, 489000), 'load', '鮮採冷凍泰國金枕頭榴槤 ']","[206766049750, datetime.datetime(2024, 2, 1, 13, 50, 17, 681000), 'load', '鮮採冷凍泰國金枕頭榴槤 ']","[206766049750, datetime.datetime(2024, 2, 1, 13, 56, 50, 86000), 'purchase', '鮮採冷凍泰國金枕頭榴槤 ']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
premium seafood enthusiast,"[206168617366, datetime.datetime(2024, 1, 25, 15, 57, 48, 176000), 'load', '泰國進口冷凍山竹']","[206168617366, datetime.datetime(2024, 1, 25, 16, 0, 22, 165000), 'load', '熟凍鮮紅蟳']","[206168617366, datetime.datetime(2024, 1, 25, 16, 4, 31, 312000), 'purchase', '熟凍鮮紅蟳']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegetable and fruit lover,"[208689937736, datetime.datetime(2024, 2, 23, 20, 5, 39, 348000), 'load', '鮮採蜜風鈴蓮霧']","[208689937736, datetime.datetime(2024, 2, 23, 20, 34, 0, 14000), 'load', '鮮採蜜風鈴蓮霧']","[208689937736, datetime.datetime(2024, 2, 23, 20, 37, 4, 477000), 'purchase', '鮮採蜜風鈴蓮霧']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat and seafood combo shopper,"[211480705042, datetime.datetime(2024, 3, 27, 3, 18, 26, 867000), 'load', '日式梅花燒肉片']","[211480705042, datetime.datetime(2024, 3, 27, 3, 20, 15, 691000), 'load', '香酥雞腿排']","[211480705042, datetime.datetime(2024, 3, 27, 3, 22, 14, 685000), 'load', '黑胡椒醬燒嫩肩牛肉']","[211480705042, datetime.datetime(2024, 3, 27, 3, 23, 8, 275000), 'load', '招牌蒜香羊肉']","[211480705042, datetime.datetime(2024, 3, 27, 3, 26, 59, 290000), 'purchase', '日式梅花燒肉片']","[211480705042, datetime.datetime(2024, 3, 27, 3, 26, 59, 290000), 'purchase', '香酥雞腿排']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat and seafood combo shopper,"[208889424738, datetime.datetime(2024, 2, 26, 3, 30, 39, 572000), 'load', '爆汁雞肉捲']","[208889424738, datetime.datetime(2024, 2, 26, 3, 31, 10, 458000), 'load', '爆汁雞肉捲']","[208889424738, datetime.datetime(2024, 2, 26, 3, 33, 17, 401000), 'load', '爆汁雞肉捲']","[208889424738, datetime.datetime(2024, 2, 26, 3, 33, 53, 801000), 'load', '爆汁雞肉捲']","[208889424738, datetime.datetime(2024, 2, 26, 3, 34, 5, 144000), 'load', '爆汁雞肉捲']","[208889424738, datetime.datetime(2024, 2, 26, 3, 34, 39, 408000), 'load', '爆汁雞肉捲']","[208889424738, datetime.datetime(2024, 2, 26, 3, 35, 19, 730000), 'load', '爆汁雞肉捲']","[208889424738, datetime.datetime(2024, 2, 26, 3, 36, 3, 330000), 'purchase', '爆汁雞肉捲']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end and premium food lover,"[211557964892, datetime.datetime(2024, 3, 28, 0, 46, 6, 526000), 'load', ' 總統級超厚霜降牛排21oz']","[211557964892, datetime.datetime(2024, 3, 28, 0, 47, 9, 163000), 'load', '金目鱸魚清肉排']","[211557964892, datetime.datetime(2024, 3, 28, 0, 47, 18, 238000), 'load', '香酥雞腿排']","[211557964892, datetime.datetime(2024, 3, 28, 0, 47, 24, 916000), 'load', '美澳紐超值福利牛肉']","[211557964892, datetime.datetime(2024, 3, 28, 0, 54, 23, 564000), 'load', '招牌紅燒牛肉湯']","[211557964892, datetime.datetime(2024, 3, 28, 0, 54, 41, 497000), 'load', '鮮嫩無骨雞腿排/單支裝']","[211557964892, datetime.datetime(2024, 3, 28, 0, 55, 43, 999000), 'load', '低醣飲食雞胸蔬菜任選20入']","[211557964892, datetime.datetime(2024, 3, 28, 0, 56, 13, 181000), 'load', '一休精選 低醣飲食雞胸蔬菜']","[211557964892, datetime.datetime(2024, 3, 28, 1, 0, 45, 676000), 'load', '聖凱招牌牛肉麵3入自由選']","[211557964892, datetime.datetime(2024, 3, 28, 1, 2, 29, 167000), 'load', '超夯鮮嫩好食雞(1/4隻)十入']","[211557964892, datetime.datetime(2024, 3, 28, 1, 4, 3, 165000), 'load', '超嫩舒肥嫩雞胸(任選20包)']","[211557964892, datetime.datetime(2024, 3, 28, 1, 4, 14, 151000), 'load', '超嫩蒜味辣椒舒肥雞胸']","[211557964892, datetime.datetime(2024, 3, 28, 1, 6, 48, 458000), 'load', '超嫩舒肥嫩雞胸(任選20包)']","[211557964892, datetime.datetime(2024, 3, 28, 1, 8, 17, 285000), 'load', '四川輕麻辣舒肥嫩雞胸']","[211557964892, datetime.datetime(2024, 3, 28, 1, 13, 55, 535000), 'purchase', '美澳紐超值福利牛肉']","[211557964892, datetime.datetime(2024, 3, 28, 1, 13, 55, 535000), 'purchase', '超嫩舒肥嫩雞胸(任選20包)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
healthy and low-calorie food seeker,"[199263891450, datetime.datetime(2023, 11, 6, 17, 47, 30, 809000), 'load', '低醣飲食雞胸蔬菜任選35入']","[199263891450, datetime.datetime(2023, 11, 6, 17, 51, 18, 667000), 'purchase', '優鮮去骨雞腿排/二支裝']","[199263891450, datetime.datetime(2023, 11, 6, 17, 51, 18, 667000), 'purchase', '香酥雞腿排']","[199263891450, datetime.datetime(2023, 11, 6, 17, 51, 18, 667000), 'purchase', '低醣飲食雞胸蔬菜任選35入']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
premium seafood enthusiast,"[209781261908, datetime.datetime(2024, 3, 7, 11, 14, 23, 467000), 'load', '南方澳鮮撈無鹽鯖魚(2片)']","[209781261908, datetime.datetime(2024, 3, 7, 11, 14, 38, 326000), 'load', '南方澳鮮撈無鹽鯖魚(2片)']","[209781261908, datetime.datetime(2024, 3, 7, 11, 17, 26, 956000), 'purchase', '南方澳鮮撈無鹽鯖魚(2片)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
healthy and low-calorie food seeker,"[209140659528, datetime.datetime(2024, 2, 29, 1, 21, 20, 354000), 'load', '鮮凍綜合蔬菜']","[209140659528, datetime.datetime(2024, 2, 29, 1, 32, 59, 833000), 'purchase', '日式梅花燒肉片']","[209140659528, datetime.datetime(2024, 2, 29, 1, 32, 59, 833000), 'purchase', '鮮凍綜合蔬菜']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese specialty enthusiast,"[210230105146, datetime.datetime(2024, 3, 12, 15, 56, 1, 904000), 'load', '日式梅花燒肉片']","[210230105146, datetime.datetime(2024, 3, 12, 15, 56, 26, 738000), 'load', '日式梅花燒肉片']","[210230105146, datetime.datetime(2024, 3, 12, 15, 56, 59, 242000), 'load', '巨無霸霜降牛排']","[210230105146, datetime.datetime(2024, 3, 12, 15, 57, 25, 580000), 'load', '日式梅花燒肉片']","[210230105146, datetime.datetime(2024, 3, 12, 15, 57, 57, 596000), 'load', '巨無霸牛排']","[210230105146, datetime.datetime(2024, 3, 12, 15, 59, 59, 173000), 'load', '巨無霸霜降牛排16oz']","[210230105146, datetime.datetime(2024, 3, 12, 16, 14, 17, 153000), 'purchase', '螯蝦海鮮濃湯']","[210230105146, datetime.datetime(2024, 3, 12, 16, 14, 17, 153000), 'purchase', '嫩煎古早味鐵路排骨']","[210230105146, datetime.datetime(2024, 3, 12, 16, 14, 17, 153000), 'purchase', '豪氣食堂台式芋頭炊粉湯']","[210230105146, datetime.datetime(2024, 3, 12, 16, 14, 17, 153000), 'purchase', '優鮮去骨雞腿排/二支裝']","[210230105146, datetime.datetime(2024, 3, 12, 16, 14, 17, 153000), 'purchase', '日式梅花燒肉片']","[210230105146, datetime.datetime(2024, 3, 12, 16, 14, 17, 153000), 'purchase', '香酥雞腿排']","[210230105146, datetime.datetime(2024, 3, 12, 16, 14, 17, 153000), 'purchase', '紐西蘭鮮凍栗子南瓜']","[210230105146, datetime.datetime(2024, 3, 12, 16, 14, 17, 153000), 'purchase', '巨無霸霜降牛排16oz']","[210230105146, datetime.datetime(2024, 3, 12, 16, 14, 17, 153000), 'purchase', '紐西蘭菲力骰子牛']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seasonal and festive food buyer,"[206777582692, datetime.datetime(2024, 2, 1, 16, 53, 26, 265000), 'load', '鴻運納財迎春宴']","[206777582692, datetime.datetime(2024, 2, 1, 16, 54, 47, 368000), 'purchase', '鴻運納財迎春宴']","[206777582692, datetime.datetime(2024, 2, 1, 17, 0, 41, 563000), 'purchase', '鴻運納財迎春宴']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegetable and fruit lover,"[210768849858, datetime.datetime(2024, 3, 18, 21, 35, 16, 381000), 'load', '捷淇-椒麻手撕雞腿肉200g']","[210768849858, datetime.datetime(2024, 3, 18, 21, 35, 35, 249000), 'load', '低醣飲食雞胸蔬菜任選20入']","[210768849858, datetime.datetime(2024, 3, 18, 21, 46, 7, 315000), 'purchase', '低醣飲食雞胸蔬菜任選20入']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
premium seafood enthusiast,"[203574578560, datetime.datetime(2023, 12, 26, 15, 11, 31, 595000), 'load', '黃金竹筴魚一夜干']","[203574578560, datetime.datetime(2023, 12, 26, 15, 13, 52, 867000), 'load', '澎湖在地美食自由選(20包)']","[203574578560, datetime.datetime(2023, 12, 26, 15, 15, 44, 295000), 'load', '醬漬一口鮑單入自由選']","[203574578560, datetime.datetime(2023, 12, 26, 15, 28, 1, 27000), 'purchase', '醬漬一口鮑單入自由選']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegetable and fruit lover,"[206015596547, datetime.datetime(2024, 1, 23, 21, 22, 50, 585000), 'load', '甜蜜蜜砂糖橘']","[206015596547, datetime.datetime(2024, 1, 23, 21, 23, 18, 672000), 'load', '特選鮮採大湖草莓']","[206015596547, datetime.datetime(2024, 1, 23, 21, 26, 50, 181000), 'purchase', '鮮採紅肉柳丁(5斤)']","[206015596547, datetime.datetime(2024, 1, 23, 21, 26, 50, 181000), 'purchase', '水蜜桃鮮果乾']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
premium seafood enthusiast,"[209128378596, datetime.datetime(2024, 2, 28, 21, 53, 56, 87000), 'load', '醬漬一口鮑單入自由選']","[209128378596, datetime.datetime(2024, 2, 28, 21, 56, 1, 105000), 'load', '醬漬一口鮑單入自由選']","[209128378596, datetime.datetime(2024, 2, 28, 21, 57, 43, 244000), 'load', '醬漬一口鮑單入自由選']","[209128378596, datetime.datetime(2024, 2, 28, 22, 20, 11, 416000), 'purchase', '醬漬一口鮑單入自由選']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegetable and fruit lover,"[204408637614, datetime.datetime(2024, 1, 5, 6, 51, 41, 731000), 'load', '泰國進口冷凍山竹']","[204408637614, datetime.datetime(2024, 1, 5, 6, 53, 34, 590000), 'load', '鮮採蜜風鈴蓮霧']","[204408637614, datetime.datetime(2024, 1, 5, 6, 55, 30, 383000), 'purchase', '泰國進口冷凍山竹']","[204408637614, datetime.datetime(2024, 1, 5, 6, 55, 30, 383000), 'purchase', '鮮採蜜風鈴蓮霧']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat and seafood combo shopper,"[202188181943, datetime.datetime(2023, 12, 10, 14, 13, 7, 365000), 'load', '炭烤BBQ豬醬骨']","[202188181943, datetime.datetime(2023, 12, 10, 14, 15, 18, 72000), 'load', '台南無刺虱目魚肚']","[202188181943, datetime.datetime(2023, 12, 10, 14, 16, 40, 290000), 'load', '藜麥鮮穀熟飯單入自由選']","[202188181943, datetime.datetime(2023, 12, 10, 14, 18, 0, 750000), 'load', '台南無刺虱目魚肚']","[202188181943, datetime.datetime(2023, 12, 10, 14, 18, 20, 387000), 'load', '鮮嫩無骨雞腿排/單支裝']","[202188181943, datetime.datetime(2023, 12, 10, 14, 21, 17, 355000), 'purchase', '日式梅花燒肉片']","[202188181943, datetime.datetime(2023, 12, 10, 14, 21, 17, 355000), 'purchase', '古早味醬醃鮮蛤蜊']","[202188181943, datetime.datetime(2023, 12, 10, 14, 21, 17, 355000), 'purchase', '西班牙伊比利豬燒烤片']","[202188181943, datetime.datetime(2023, 12, 10, 14, 21, 17, 355000), 'purchase', '台南無刺虱目魚肚']","[202188181943, datetime.datetime(2023, 12, 10, 14, 21, 17, 355000), 'purchase', '鮮嫩無骨雞腿排/單支裝']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegetable and fruit lover,"[205650585463, datetime.datetime(2024, 1, 19, 15, 49, 46, 643000), 'load', '鮮採蜜風鈴蓮霧']","[205650585463, datetime.datetime(2024, 1, 19, 15, 53, 38, 258000), 'purchase', '鮮採蜜風鈴蓮霧']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seasonal and festive food buyer,"[206795764346, datetime.datetime(2024, 2, 1, 22, 5, 27, 512000), 'load', '豐禾小團聚']","[206795764346, datetime.datetime(2024, 2, 1, 22, 6, 6, 172000), 'load', '龍躍承祥團圓宴']","[206795764346, datetime.datetime(2024, 2, 1, 22, 9, 7, 764000), 'load', '喜迎春富賀歲宴']","[206795764346, datetime.datetime(2024, 2, 1, 22, 11, 12, 547000), 'purchase', '喜迎春富賀歲宴']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comfort food lover,"[209518814838, datetime.datetime(2024, 3, 4, 10, 20, 17, 90000), 'load', '豪氣食堂台式芋頭炊粉湯']","[209518814838, datetime.datetime(2024, 3, 4, 10, 28, 5, 197000), 'purchase', '豪氣食堂台式芋頭炊粉湯']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end and premium food lover,"[199837273626, datetime.datetime(2023, 11, 13, 9, 6, 58, 500000), 'load', '紐西蘭五星級羊小排']","[199837273626, datetime.datetime(2023, 11, 13, 9, 15, 16, 87000), 'purchase', '紐西蘭五星級羊小排']","[199837273626, datetime.datetime(2023, 11, 13, 9, 15, 16, 87000), 'purchase', '美國藍帶特選嫩肩牛排']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
premium seafood enthusiast,"[205562060479, datetime.datetime(2024, 1, 18, 15, 14, 23, 6000), 'load', '醬漬一口鮑單入自由選']","[205562060479, datetime.datetime(2024, 1, 18, 15, 17, 22, 853000), 'purchase', '醬漬一口鮑單入自由選']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
healthy and low-calorie food seeker,"[206106637669, datetime.datetime(2024, 1, 24, 22, 32, 30, 505000), 'load', '熊本和王頂級A5和牛火鍋片']","[206106637669, datetime.datetime(2024, 1, 24, 22, 33, 30, 354000), 'load', '【限量特賣】紐約客牛排']","[206106637669, datetime.datetime(2024, 1, 24, 22, 36, 0, 351000), 'load', '美國藍帶特選嫩肩牛排']","[206106637669, datetime.datetime(2024, 1, 24, 22, 37, 42, 675000), 'load', '優鮮豚6入自由選']","[206106637669, datetime.datetime(2024, 1, 24, 22, 38, 20, 931000), 'load', '美澳紐超值福利牛肉']","[206106637669, datetime.datetime(2024, 1, 24, 22, 40, 17, 566000), 'load', '紐西蘭股神牛排']","[206106637669, datetime.datetime(2024, 1, 24, 22, 41, 39, 444000), 'load', '舒肥雞胸輕巧隨手包(30包)']","[206106637669, datetime.datetime(2024, 1, 24, 22, 43, 20, 503000), 'load', '【HOT!】小資超牛免運組']","[206106637669, datetime.datetime(2024, 1, 24, 22, 45, 7, 141000), 'load', '超嫩舒肥嫩雞胸(任選30包)']","[206106637669, datetime.datetime(2024, 1, 24, 22, 53, 19, 609000), 'purchase', '舒肥雞胸輕巧隨手包(30包)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Failed_Prediction,"[207062637918, datetime.datetime(2024, 2, 5, 0, 4, 14, 895000), 'load', '特選智利鮮採櫻桃(1KG/箱)']","[207062637918, datetime.datetime(2024, 2, 5, 0, 6, 40, 794000), 'load', '美國安格斯帶骨牛小排']","[207062637918, datetime.datetime(2024, 2, 5, 0, 9, 12, 807000), 'purchase', '特選智利鮮採櫻桃(1KG/箱)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Failed_Prediction,"[210765897656, datetime.datetime(2024, 3, 18, 20, 45, 2, 44000), 'load', '豪氣食堂台式芋頭炊粉湯']","[210765897656, datetime.datetime(2024, 3, 18, 20, 45, 27, 863000), 'load', '豪氣食堂台式芋頭炊粉湯']","[210765897656, datetime.datetime(2024, 3, 18, 20, 50, 40, 604000), 'purchase', '豪氣食堂台式芋頭炊粉湯']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Failed_Prediction,"[202966666057, datetime.datetime(2023, 12, 19, 14, 17, 48, 343000), 'load', '招牌紅燒牛肉湯']","[202966666057, datetime.datetime(2023, 12, 19, 14, 20, 6, 225000), 'purchase', '招牌紅燒牛肉湯']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Failed_Prediction,"[199407362208, datetime.datetime(2023, 11, 8, 9, 43, 32, 283000), 'load', '鮮凍青花菜']","[199407362208, datetime.datetime(2023, 11, 8, 9, 48, 58, 550000), 'purchase', '宜蘭招牌西魯肉']","[199407362208, datetime.datetime(2023, 11, 8, 9, 48, 58, 550000), 'purchase', '鮮凍青花菜']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Failed_Prediction,"[205492363143, datetime.datetime(2024, 1, 17, 19, 52, 44, 597000), 'load', '一口炙燒烏魚子']","[205492363143, datetime.datetime(2024, 1, 17, 19, 54, 22, 495000), 'load', '美國頂級無骨牛小排']","[205492363143, datetime.datetime(2024, 1, 17, 19, 55, 49, 210000), 'load', '美國頂級無骨牛小排']","[205492363143, datetime.datetime(2024, 1, 17, 19, 57, 26, 676000), 'load', ' 一口烏魚子']","[205492363143, datetime.datetime(2024, 1, 17, 19, 58, 25, 672000), 'load', '美國頂級無骨牛小排']","[205492363143, datetime.datetime(2024, 1, 17, 19, 59, 42, 20000), 'load', '醬漬一口鮑單入自由選']","[205492363143, datetime.datetime(2024, 1, 17, 20, 0, 58, 46000), 'load', '一口炙燒烏魚子']","[205492363143, datetime.datetime(2024, 1, 17, 20, 1, 59, 255000), 'load', '醬漬一口鮑單入自由選']","[205492363143, datetime.datetime(2024, 1, 17, 20, 14, 4, 465000), 'load', '西班牙手切伊比利松阪豬']","[205492363143, datetime.datetime(2024, 1, 17, 20, 16, 44, 792000), 'load', '一口炙燒烏魚子']","[205492363143, datetime.datetime(2024, 1, 17, 20, 22, 45, 542000), 'load', '西班牙頂級霜降松阪豬']","[205492363143, datetime.datetime(2024, 1, 17, 20, 23, 44, 627000), 'load', '一口炙燒烏魚子']","[205492363143, datetime.datetime(2024, 1, 17, 21, 3, 52, 923000), 'load', '大嗑黃金雞湯涮涮鍋']","[205492363143, datetime.datetime(2024, 1, 17, 21, 4, 39, 507000), 'load', '小資黃金雞湯涮涮鍋']","[205492363143, datetime.datetime(2024, 1, 17, 21, 8, 12, 6000), 'load', '小資黃金雞湯涮涮鍋']","[205492363143, datetime.datetime(2024, 1, 17, 21, 8, 23, 399000), 'load', '大嗑黃金雞湯涮涮鍋']","[205492363143, datetime.datetime(2024, 1, 17, 21, 10, 56, 585000), 'purchase', '美國頂級無骨牛小排']","[205492363143, datetime.datetime(2024, 1, 17, 21, 10, 56, 585000), 'purchase', '西班牙頂級霜降松阪豬']","[205492363143, datetime.datetime(2024, 1, 17, 21, 10, 56, 585000), 'purchase', '澎湖五星級野生紫菜']","[205492363143, datetime.datetime(2024, 1, 17, 21, 10, 56, 585000), 'purchase', '韓式春川辣炒雞腿']","[205492363143, datetime.datetime(2024, 1, 17, 21, 10, 56, 585000), 'purchase', '紐西蘭鮮凍栗子南瓜']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
